19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
17,18,12,13,14,15,16,17,18,12,13,14,15,16,17,18,13,14,15,16,17,18,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,9,10,11,12,13,14,15,16,17,18,12,13,14,15,9,10,11,12,13,14,15,16,17,18,12,13,14,15,9,10,11,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,16,17,18,12,13,14,15,9,10,11,12,13,14,15,16,17
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6,7,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6,7,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6,7,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6,7,8,20,20,20,20,20,20,20,20,20,20,20,6,7,8,20,20,20,20,20,20,20,20,20,20,20,6,7,8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,6,7,8,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20
2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,2,2,20,20,2,20,20,2,2,2,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20
2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,2,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,2
2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,2
2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,2,2,2,2,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,20,2,20,20,20,20,20,20,20,2,2,2,20,20,20,2,2,2,20,20,20,3,4,5,20,20,20,20,20,20,20,20,20,20,20,3,4,5,20,20,2,2,20,20,20,20,20,20,20,3,4,5,20,20,20,20,20,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,2,2,2,20,20,20,20,20,20,3,4,5,20,20,20,20,20,2
